from,to,weight
432,902,0.1
435,5732,0.1
436,1571,0.2
436,5159,0.1
437,1570,0.1
437,2402,0.1
437,4109,0.2
438,1758,0.05
438,3722,0.2
439,9890,0.0666666666666667
440,8405,0.2
444,3056,0.1
444,4419,0.2
445,5061,0.2
445,9331,0.1
448,8106,0.05
449,6332,0.1
452,1224,0.2
453,1186,0.0666666666666667
454,167,0.0666666666666667
455,1483,0.1
456,4724,0.0666666666666667
458,1477,0.2
459,2445,0.1
462,1511,0.1
463,5264,0.1
464,3026,0.2
464,7398,0.1
467,3698,0.1
467,4072,0.0666666666666667
467,8293,0.1
470,4108,0.1
471,7124,0.2
474,3441,0.1
475,4578,0.0666666666666667
475,4841,0.0666666666666667
475,6507,0.0666666666666667
477,9350,0.1
478,1846,0.2
479,2851,0.2
480,321,0.1
480,5836,0.1
480,7491,0.2
482,648,0.2
482,4732,0.1
484,4525,0.2
485,5242,0.2
486,4149,0.0666666666666667
486,7592,0.05
487,4330,0.1
487,4442,0.0666666666666667
488,2919,0.0666666666666667
488,6464,0.1
489,869,0.1
491,856,0.2
492,3365,0.0666666666666667
493,2998,0.2
493,6839,0.1
496,1579,0.2
496,3480,0.2
496,8978,0.1
500,6971,0.1
501,6838,0.0666666666666667
502,7627,0.2
503,5046,0.2
503,6486,0.1
505,1632,0.05
506,3190,0.2
506,5890,0.2
507,5411,0.1
508,1790,0.1
508,8781,0.2
511,4636,0.1
511,8609,0.05
512,9671,0.1
513,3091,0.0666666666666667
515,9757,0.1
520,9689,0.0666666666666667
521,1488,0.2
522,5446,0.05
523,1750,0.2
523,3023,0.2
523,3132,0.0666666666666667
523,3383,0.2
525,4280,0.2
526,2608,0.05
527,2728,0.1
530,43,0.05
530,8779,0.2
532,4844,0.2
532,6848,0.2
535,4767,0.2
536,9455,0.2
537,278,0.2
538,3473,0.2
538,9143,0.1
540,1958,0.05
540,9814,0.1
541,5670,0.1
542,572,0.05
543,7306,0.2
543,8939,0.1
544,6325,0.1
545,2121,0.0666666666666667
549,404,0.1
551,74,0.0666666666666667
552,9992,0.0666666666666667
553,5651,0.1
554,590,0.2
554,4011,0.1
555,6870,0.2
555,9343,0.2
555,9831,0.2
557,3561,0.2
557,7411,0.2
559,5414,0.2
560,1012,0.2
561,8412,0.2
562,5568,0.0666666666666667
562,6629,0.2
562,8037,0.1
562,8994,0.2
564,5103,0.1
564,7193,0.1
566,804,0.2
566,4435,0.1
567,419,0.0666666666666667
570,6992,0.0666666666666667
572,8659,0.2
572,8763,0.1
575,546,0.1
577,6805,0.2
577,9712,0.0666666666666667
577,9790,0.2
579,8728,0.1
579,9231,0.05
580,2702,0.2
583,3879,0.05
583,6103,0.2
584,2340,0.05
585,1429,0.1
587,2857,0.2
588,693,0.2
588,8785,0.2
589,3515,0.0666666666666667
589,8115,0.1
590,245,0.2
593,2917,0.2
594,7163,0.0666666666666667
595,4480,0.1
596,8826,0.2
597,1026,0.1
597,8442,0.2
598,784,0.05
598,1160,0.2
598,4949,0.2
598,8998,0.1
599,5568,0.0666666666666667
603,2497,0.2
604,3721,0.1
606,2187,0.2
606,4700,0.2
607,4390,0.2
607,7340,0.1
608,588,0.2
611,9386,0.1
613,2647,0.0666666666666667
613,4792,0.2
614,4252,0.1
614,5037,0.2
618,8051,0.1
618,9486,0.2
619,9267,0.2
619,9551,0.2
620,2115,0.2
621,1083,0.1
621,1413,0.1
623,8660,0.2
625,5387,0.1
627,2373,0.2
627,5899,0.2
628,2276,0.2
630,4343,0.1
631,6378,0.0666666666666667
631,7074,0.05
633,281,0.0666666666666667
633,4793,0.2
634,1570,0.1
634,1766,0.2
635,1402,0.1
635,1518,0.1
635,4575,0.2
635,7593,0.0666666666666667
636,7258,0.0666666666666667
638,5938,0.1
641,849,0.1
642,265,0.04
642,1393,0.2
642,4389,0.0666666666666667
644,7156,0.1
647,7177,0.1
648,8615,0.2
649,449,0.1
649,776,0.2
650,3146,0.0666666666666667
651,2476,0.2
652,459,0.1
652,9125,0.1
653,4226,0.2
654,5230,0.1
655,463,0.2
655,2759,0.1
656,5841,0.2
657,6358,0.2
658,5353,0.05
660,116,0.0666666666666667
660,9561,0.1
663,2341,0.1
663,5378,0.2
665,3869,0.2
668,9528,0.1
669,1445,0.0666666666666667
669,5099,0.0666666666666667
669,6447,0.2
672,3462,0.1
672,5413,0.2
672,8482,0.2
673,4632,0.2
673,5222,0.1
673,9161,0.1
675,3993,0.1
675,5425,0.2
678,9472,0.2
679,2925,0.0666666666666667
679,4270,0.0666666666666667
680,1061,0.2
682,6253,0.0666666666666667
683,572,0.05
683,8968,0.0666666666666667
685,691,0.2
687,4687,0.1
689,8972,0.0666666666666667
690,4675,0.1
691,1258,0.2
695,299,0.1
695,739,0.1
696,3951,0.1
697,8828,0.1
697,9821,0.2
698,6987,0.2
700,4601,0.2
701,3143,0.2
702,8003,0.2
703,6157,0.2
705,3957,0.0666666666666667
705,4979,0.2
708,8428,0.0666666666666667
710,1348,0.1
710,2121,0.0666666666666667
710,4425,0.2
710,4866,0.1
711,90,0.1
711,608,0.2
714,2865,0.2
714,8883,0.1
716,8253,0.1
718,2623,0.2
719,2775,0.1
720,485,0.1
720,7765,0.1
722,479,0.2
722,3898,0.1
722,6394,0.2
723,6768,0.2
724,6302,0.2
725,2867,0.1
725,3172,0.1
726,5090,0.2
726,7740,0.2
727,7116,0.1
730,7891,0.1
732,8908,0.2
732,9612,0.2
733,7396,0.2
733,8882,0.1
734,4402,0.1
734,6399,0.0666666666666667
734,6602,0.2
735,7539,0.2
738,5717,0.2
739,6537,0.2
739,9928,0.2
740,4475,0.1
741,384,0.2
743,287,0.2
743,1862,0.1
744,8928,0.0666666666666667
746,3477,0.1
749,8770,0.2
751,238,0.2
751,1951,0.1
751,8784,0.2
752,2271,0.1
755,43,0.05
755,1954,0.1
755,7039,0.1
757,5707,0.1
758,5692,0.2
758,7912,0.2
763,6392,0.2
764,6685,0.2
764,7528,0.1
765,3974,0.1
765,4281,0.1
766,9742,0.1
768,6573,0.2
770,6672,0.1
773,9465,0.2
773,9909,0.0666666666666667
774,4458,0.2
775,348,0.0666666666666667
775,8331,0.2
777,2489,0.2
777,7495,0.2
778,8361,0.2
779,4428,0.2
779,5196,0.0666666666666667
780,1815,0.1
782,5920,0.2
783,7038,0.2
783,7438,0.2
783,8169,0.1
785,6904,0.0666666666666667
785,8290,0.1
789,5645,0.2
790,1372,0.0666666666666667
790,2842,0.04
790,9235,0.1
791,7077,0.1
794,8456,0.1
795,4158,0.1
796,995,0.0666666666666667
796,8633,0.1
798,5125,0.2
799,3038,0.0666666666666667
801,2408,0.2
802,9685,0.1
804,6136,0.1
805,1568,0.1
805,5819,0.0666666666666667
806,396,0.05
806,5330,0.1
807,4740,0.1
807,8437,0.2
807,9138,0.1
810,8427,0.0666666666666667
813,7730,0.1
814,5994,0.1
816,1502,0.2
817,1489,0.2
817,5822,0.2
819,2153,0.1
824,5795,0.05
826,5302,0.2
826,9688,0.2
827,2346,0.2
827,3165,0.2
828,4688,0.1
830,4174,0.2
830,5449,0.0666666666666667
830,6081,0.1
831,6655,0.1
834,6529,0.2
835,9978,0.2
836,2715,0.2
838,9111,0.2
839,4871,0.2
840,151,0.2
840,3615,0.2
841,1155,0.2
841,4062,0.1
842,5066,0.0666666666666667
843,370,0.1
843,9709,0.1
845,9503,0.1
846,6192,0.1
846,6531,0.0666666666666667
846,8614,0.0666666666666667
847,2528,0.2
847,3741,0.0666666666666667
847,8385,0.0666666666666667
847,8891,0.1
849,2384,0.2
852,100,0.1
852,4975,0.1
852,5937,0.05
853,902,0.1
854,6711,0.2
854,6869,0.2
855,8021,0.1
857,7922,0.0666666666666667
858,6366,0.2
859,8798,0.2
859,9810,0.1
861,5126,0.1
862,5619,0.1
863,3618,0.0666666666666667
863,7348,0.04
865,1587,0.2
866,1845,0.1
867,3684,0.05
868,5985,0.2
872,8231,0.1
875,2288,0.1
875,7487,0.1
876,320,0.1
876,874,0.2
876,3731,0.2
877,4587,0.05
879,1592,0.2
880,2067,0.1
881,9425,0.1
882,2442,0.1
882,4829,0.1
882,8060,0.1
884,9360,0.2
885,3119,0.2
886,182,0.1
887,2378,0.0666666666666667
887,2729,0.2
891,8940,0.2
892,805,0.1
892,8671,0.0666666666666667
893,9062,0.1
897,240,0.2
898,2053,0.0666666666666667
898,6356,0.2
898,7549,0.0666666666666667
899,784,0.05
899,2149,0.2
900,9060,0.0666666666666667
901,5499,0.0666666666666667
902,1094,0.0666666666666667
902,6828,0.1
903,2843,0.0666666666666667
904,2709,0.1
905,1678,0.0666666666666667
906,2753,0.2
907,6317,0.2
907,7266,0.1
907,7846,0.2
908,9471,0.2
908,9767,0.2
911,6040,0.2
912,6541,0.2
913,3641,0.04
914,2397,0.2
914,7225,0.2
915,78,0.1
916,4252,0.1
916,5846,0.05
919,54,0.0666666666666667
919,1120,0.0666666666666667
922,2347,0.0666666666666667
924,981,0.1
924,5406,0.0666666666666667
924,6236,0.1
926,1440,0.1
926,3020,0.2
927,8001,0.1
929,1946,0.1
932,6512,0.1
933,3146,0.0666666666666667
934,2270,0.2
935,5225,0.2
935,8357,0.05
937,7794,0.1
939,8135,0.0666666666666667
939,8759,0.2
940,3032,0.1
940,6842,0.0666666666666667
942,9129,0.2
945,2256,0.2
946,605,0.1
946,6863,0.2
947,6391,0.05
948,741,0.2
949,2713,0.0666666666666667
952,2423,0.0666666666666667
953,780,0.2
954,1289,0.2
957,8444,0.2
957,8591,0.0666666666666667
959,5138,0.2
959,9569,0.2
960,404,0.1
961,5185,0.2
963,6090,0.0666666666666667
963,9258,0.1
965,8157,0.2
966,4674,0.2
969,73,0.2
976,4819,0.2
976,8617,0.2
977,9368,0.1
978,2737,0.2
978,7886,0.1
978,8291,0.2
979,201,0.0666666666666667
979,6822,0.2
979,7544,0.2
981,1681,0.2
981,8514,0.1
982,7847,0.2
983,1777,0.1
983,1911,0.1
983,2216,0.1
984,5795,0.05
984,6465,0.1
984,8413,0.1
985,6666,0.2
986,2071,0.1
986,6557,0.0666666666666667
987,2720,0.04
987,3847,0.2
989,138,0.1
989,8493,0.0666666666666667
990,2570,0.2
990,4824,0.2
990,8022,0.2
991,147,0.04
991,2106,0.2
991,3033,0.04
993,172,0.1
993,8241,0.1
993,8363,0.2
995,9091,0.1
997,3308,0.0666666666666667
997,4677,0.0666666666666667
1000,3319,0.1
1000,9893,0.2
1001,3050,0.2
1004,8541,0.1
1005,4111,0.2
1005,7533,0.05
1007,5379,0.2
1007,9330,0.2
1008,686,0.1
1011,5582,0.1
1012,210,0.1
1012,1629,0.2
1015,1147,0.2
1019,6405,0.0666666666666667
1025,991,0.1
1025,8987,0.2
1026,1804,0.2
1028,5365,0.1
1029,6419,0.2
1033,9462,0.1
1034,3456,0.2
1035,2663,0.1
1037,1811,0.2
1037,3529,0.0666666666666667
1039,1495,0.2
1047,8587,0.2
1049,3681,0.1
1051,9594,0.2
1052,8081,0.2
1054,2051,0.1
1054,7623,0.2
1055,1743,0.0666666666666667
1055,2467,0.1
1058,4298,0.0666666666666667
1059,5206,0.2
1061,3741,0.0666666666666667
1061,5677,0.05
1062,6932,0.2
1063,9478,0.0666666666666667
1065,5039,0.2
1067,7511,0.2
1069,4791,0.2
1069,8662,0.2
1070,8526,0.0666666666666667
1070,9875,0.1
1071,4308,0.2
1072,1316,0.2
1072,1459,0.1
1072,1810,0.1
1073,4725,0.1
1073,7029,0.0666666666666667
1074,9705,0.1
1080,16,0.2
1081,265,0.04
1083,5787,0.2
1084,4223,0.2
1084,4918,0.2
1084,5024,0.2
1085,2052,0.1
1086,5983,0.1
1087,3793,0.1
1087,6983,0.2
1088,6416,0.0666666666666667
1089,3115,0.1
1090,3949,0.1
1092,2308,0.04
1092,8998,0.1
1094,9562,0.1
1096,3629,0.2
1096,5758,0.0666666666666667
1097,5383,0.1
1098,3179,0.2
1100,1043,0.1
1100,6614,0.1
1100,7098,0.2
1101,3465,0.2
1101,7747,0.1
1105,5199,0.05
1106,1206,0.2
1107,478,0.2
1108,6975,0.2
1109,5640,0.1
1109,7264,0.1
1111,8461,0.0666666666666667
1115,9382,0.1
1116,2349,0.1
1116,3965,0.2
1117,1114,0.1
1117,4294,0.1
1118,9496,0.05
1119,3790,0.2
1120,1883,0.2
1120,2569,0.04
1121,9576,0.1
1122,143,0.1
1123,871,0.1
1125,353,0.1
1125,1628,0.0666666666666667
1127,4747,0.1
1128,6049,0.2
1130,5788,0.2
1134,191,0.2
1134,2995,0.0666666666666667
1135,5052,0.1
1136,1944,0.1
1136,5402,0.0666666666666667
1137,1116,0.2
1137,3474,0.2
1138,8252,0.2
1140,3691,0.1
1143,9125,0.1
1147,1908,0.0666666666666667
1147,7311,0.1
1149,7659,0.0666666666666667
1150,4595,0.2
1153,8890,0.0666666666666667
1154,519,0.0666666666666667
1154,5536,0.2
1155,1961,0.1
1155,9007,0.2
1157,9794,0.2
1160,4083,0.1
1160,4483,0.2
1160,7592,0.05
1160,9700,0.1
1161,3189,0.0666666666666667
1162,3312,0.1
1162,5984,0.2
1162,9976,0.1
1164,1235,0.2
1166,3330,0.2
1167,5433,0.2
1167,7867,0.0666666666666667
1168,3466,0.2
1168,9736,0.2
1169,4880,0.1
1169,7475,0.2
1173,5369,0.04
1174,2986,0.2
1174,9825,0.0666666666666667
1181,1908,0.0666666666666667
1182,9369,0.1
1184,464,0.1
1187,491,0.2
1187,2840,0.1
1188,227,0.1
1190,1121,0.0666666666666667
1190,7587,0.2
1190,9907,0.1
1194,4042,0.2
1195,3114,0.2
1195,5218,0.0666666666666667
1198,2030,0.1
1199,3632,0.0666666666666667
1202,365,0.1
1202,4938,0.2
1202,5690,0.2
1202,6330,0.1
1202,9287,0.1
1203,6042,0.2
1205,8902,0.2
1208,1460,0.1
1208,6834,0.1
1211,1487,0.0666666666666667
1212,5730,0.2
1213,1011,0.0666666666666667
1214,1693,0.2
1217,8443,0.2
1218,4459,0.05
1218,7772,0.1
1222,5640,0.1
1222,6809,0.0666666666666667
1225,1515,0.1
1226,2747,0.2
1227,1210,0.2
1227,9872,0.0666666666666667
1228,234,0.2
1228,7856,0.1
1231,9076,0.2
1234,5664,0.1
1234,8705,0.2
1235,519,0.0666666666666667
1236,4378,0.0666666666666667
1238,4539,0.2
1241,1015,0.2
1242,2006,0.2
1245,1533,0.04
1245,3676,0.2
1246,4778,0.1
1247,2290,0.0666666666666667
1248,7944,0.1
1249,3987,0.1
1250,6459,0.2
1251,4676,0.2
1252,1124,0.1
1252,7826,0.0666666666666667
1253,1371,0.2
1254,3979,0.2
1255,3927,0.2
1256,3366,0.1
1259,883,0.1
1262,53,0.2
1264,903,0.1
1265,1925,0.0666666666666667
1267,4495,0.2
1268,2112,0.1
1268,7854,0.1
1269,2562,0.2
1272,9419,0.2
1274,2444,0.0666666666666667
1274,6340,0.0666666666666667
1275,6760,0.1
1275,9277,0.2
1276,260,0.2
1276,4829,0.1
1278,3910,0.1
1279,1445,0.0666666666666667
1282,6630,0.1
1286,5105,0.1
1287,7278,0.1
1288,960,0.1
1289,477,0.2
1289,8701,0.1
1292,4356,0.0666666666666667
1292,6467,0.2
1295,552,0.2
1295,4256,0.1
1297,2223,0.0666666666666667
1297,5675,0.0666666666666667
1298,2663,0.1
1300,8054,0.1
1300,8381,0.0666666666666667
1300,8454,0.1
1301,1379,0.1
1301,2586,0.1
1302,6253,0.0666666666666667
1302,6877,0.1
1302,7401,0.2
1305,6652,0.1
1306,2893,0.0666666666666667
1306,9236,0.2
1307,4242,0.2
1309,1492,0.1
1309,7082,0.0666666666666667
1310,9261,0.1
1311,7823,0.1
1312,8804,0.2
1314,1868,0.1
1314,4534,0.2
1315,7061,0.05
1317,5100,0.1
1319,4604,0.1
1320,789,0.2
1320,6132,0.0666666666666667
1321,1671,0.2
1321,1674,0.0666666666666667
1322,8580,0.2
1325,3239,0.1
1325,5485,0.2
1328,7222,0.1
1331,7274,0.2
1333,3076,0.2
1336,8859,0.1
1337,9879,0.1
1338,5881,0.2
1339,9006,0.1
1340,1621,0.2
1340,9598,0.1
1341,7949,0.1
1344,7881,0.2
1345,4073,0.2
1345,9657,0.0666666666666667
1345,9699,0.1
1346,5033,0.1
1347,5599,0.2
1347,7689,0.1
1349,2780,0.1
1349,2853,0.1
1349,5022,0.0666666666666667
1350,3737,0.1
1350,8447,0.2
1351,784,0.05
1351,1078,0.0666666666666667
1354,4703,0.2
1355,2181,0.1
1355,6775,0.1
1358,2259,0.1
1358,8926,0.1
1359,5576,0.2
1359,8144,0.2
1359,8385,0.0666666666666667
1360,9496,0.05
1363,8121,0.05
1364,6455,0.1
1366,7416,0.2
1369,2959,0.2
1370,2588,0.2
1372,9131,0.0666666666666667
1373,3689,0.2
1373,4158,0.1
1373,7672,0.2
1373,9317,0.2
1374,7711,0.0666666666666667
1375,5482,0.2
1376,961,0.2
1376,3339,0.2
1376,5271,0.2
1378,4239,0.05
1379,1288,0.0666666666666667
1380,3080,0.2
1380,7110,0.0666666666666667
1382,7622,0.1
1384,2674,0.2
1385,1299,0.1
1387,3996,0.2
1389,5080,0.2
1389,7823,0.1
1392,484,0.1
1393,8264,0.1
1394,7586,0.1
1395,6663,0.1
1395,7962,0.2
1396,1300,0.1
1397,814,0.1
1399,556,0.2
1399,2236,0.2
1400,1885,0.2
1401,5284,0.2
1401,7789,0.0666666666666667
1402,228,0.2
1402,9751,0.1
1405,310,0.2
1406,5950,0.2
1408,5845,0.2
1409,5330,0.1
1410,5131,0.0666666666666667
1410,6775,0.1
1411,3041,0.0666666666666667
1412,7373,0.1
1413,1987,0.1
1413,3832,0.2
1414,2652,0.2
1414,3845,0.2
1416,6773,0.1
1419,9527,0.0666666666666667
1422,1017,0.2
1422,2846,0.1
1422,8450,0.1
1424,7315,0.2
1428,475,0.1
1428,2264,0.1
1428,2827,0.2
1428,4697,0.2
1428,6308,0.0666666666666667
1432,3413,0.0666666666666667
1432,8717,0.1
1433,2809,0.1
1433,5988,0.2
1434,3033,0.04
1435,5944,0.1
1436,2792,0.1
1436,7723,0.0666666666666667
1436,9993,0.2
1437,5987,0.2
1437,7768,0.1
1438,1736,0.1
1440,2864,0.1
1440,8988,0.0666666666666667
1442,161,0.2
1442,7723,0.0666666666666667
1442,9017,0.1
1444,6055,0.2
1444,7964,0.0666666666666667
1446,707,0.2
1447,8926,0.1
1448,7859,0.1
1449,4845,0.2
1450,1256,0.2
1450,4732,0.1
1450,7470,0.2
1450,8353,0.2
1451,4129,0.2
1451,7057,0.1
1452,5124,0.1
1453,6277,0.1
1453,8161,0.1
1453,9634,0.0666666666666667
1456,9117,0.1
1457,1737,0.2
1457,9399,0.0666666666666667
1458,5189,0.2
1459,5924,0.2
1464,4356,0.0666666666666667
1465,1822,0.0666666666666667
1465,5922,0.2
1465,6175,0.0666666666666667
1465,6471,0.2
1465,6513,0.2
1465,7441,0.1
1466,9056,0.1
1467,957,0.1
1467,5609,0.0666666666666667
1467,7353,0.2
1467,7453,0.2
1468,3713,0.1
1471,2712,0.0666666666666667
1471,5683,0.2
1471,7104,0.04
1473,3766,0.1
1473,8360,0.2
1474,5636,0.0666666666666667
1475,1364,0.2
1476,621,0.2
1476,2746,0.2
1477,4164,0.1
1477,8755,0.1
1479,6116,0.05
1479,7738,0.1
1480,7188,0.05
1481,190,0.2
1481,2293,0.0666666666666667
1481,4309,0.2
1481,4883,0.2
1485,9716,0.2
1487,6787,0.0666666666666667
1488,382,0.1
1488,9912,0.2
1490,7441,0.1
1491,8633,0.1
1493,8464,0.2
1494,3108,0.1
1494,3834,0.2
1495,8747,0.1
1497,3108,0.1
1497,3754,0.0666666666666667
1498,851,0.2
1498,8048,0.1
1502,170,0.2
1502,5623,0.05
1504,3441,0.1
1505,1370,0.2
1505,6364,0.2
1508,1314,0.2
1508,4399,0.2
1508,6645,0.2
1509,66,0.0666666666666667
1509,2994,0.1
1510,54,0.0666666666666667
1510,2160,0.2
